Year	Low_temperature	Snowfall										
2019	-26	8.3										
2018	-13	7.2										
2017	-9	5.2										
2016	-9	5.7										
2015	-12	5.6										
2014	-18	5.3										
2013	-14	6.4										
2012	-8	13.3										
2011	-15	8.3										
2010	-11	6.3										
2009	-19	7.1										
2008	-15	11.9										
2007	-16	6.2										
2006	-17	6.1										
2005	-10	5.7										
2004	-13	3.8										
2003	-9	4.6										
2002	-8	6.6										
2001	-8	1.9										
2000	-21	8.2										
1999	-20	10.2										
1998	-7	6.8										
1997	-11	4.5										
1996	-29	7.4										
1995	-7	12.6										
1994	-27	11.6										
1993	-10	7.8										
1992	-7	5.3										
1991	-16	4.5										
1990	-11	17.3										
1989	-18	3.7										
1988	-21	8.1										
1987	-12	13.2										
1986	-21	5.6										
1985	-28	12.1										
1984	-19	5.1										
1983	-25	6.6										
1982	-26	8										
1981	-10	4.8										
1980	-12	4										
1979	-28	7.3										
1978	-12	8.1										
1977	-22	7										
1976	-20	6										
1975	-14	4.9										
1974	-19	5										
1973	-16	12.9										
1972	-24	10.9										
1971	-26	12										
1970	-21	12.7										
1969	-14	8.4										
1968	-18	4.3										
1967	-21	4.1										
1966	-23	7.1										
1965	-25	6.9										
1964	-9	5.2										
1963	-30	6.3										
1962	-29	4.7										
1961	-15	10										
1960	-14	5.6										
1959	-28	10										
1958	-14	2										
1957	-12	6.9										
1956	-11	4.9										
1955	-14	3.1										
1954	-14	5.9										
1953	-9	5										
1952	-13	3.3										
1951	-37	4.8										
1950	-21	10.3										
